ClkCycle:         76, pc_rdata: 000000be, pc_wdata: 000000be, insn: 00001ffd, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         77, pc_rdata: 000000be, pc_wdata: 000000c0, insn: f00f8453, mode: 3, rs1_addr:  2, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         78, pc_rdata: 000000c0, pc_wdata: 000000c4, insn: f00f8453, mode: 3, rs1_addr: 31, rs1_rdata: ff7fffff, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: ff7fffff, mem_addr: ff7fffff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         79, pc_rdata: 000000c4, pc_wdata: 000000c8, insn: ff800fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: ff800000, mem_addr: ff800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         80, pc_rdata: 000000c8, pc_wdata: 000000cc, insn: f00f84d3, mode: 3, rs1_addr: 31, rs1_rdata: ff7fffff, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  9, rd_wdata: ff800000, mem_addr: ff800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         81, pc_rdata: 000000cc, pc_wdata: 000000d0, insn: 7f800fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 7f800000, mem_addr: 7f800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         82, pc_rdata: 000000d0, pc_wdata: 000000d2, insn: 00000f85, mode: 3, rs1_addr: 31, rs1_rdata: ff800000, rs2_addr:  1, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 7f800001, mem_addr: 7f800001, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         83, pc_rdata: 000000d2, pc_wdata: 000000d2, insn: 00000f85, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  0, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         84, pc_rdata: 000000d2, pc_wdata: 000000d4, insn: f00f8553, mode: 3, rs1_addr:  2, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         85, pc_rdata: 000000d4, pc_wdata: 000000d8, insn: f00f8553, mode: 3, rs1_addr: 31, rs1_rdata: 7f800001, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 10, rd_wdata: 7f800001, mem_addr: 7f800001, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         86, pc_rdata: 000000d8, pc_wdata: 000000dc, insn: ff800fb7, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: ff800000, mem_addr: ff800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         87, pc_rdata: 000000dc, pc_wdata: 000000e0, insn: f00f85d3, mode: 3, rs1_addr: 31, rs1_rdata: 7f800001, rs2_addr:  0, rs2_rdata: 00000000, rd_addr: 11, rd_wdata: ff800000, mem_addr: ff800000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         88, pc_rdata: 000000e0, pc_wdata: 000000e4, insn: 7ba40fb7, mode: 3, rs1_addr:  8, rs1_rdata: 00000000, rs2_addr: 26, rs2_rdata: 00000000, rd_addr: 31, rd_wdata: 7ba40000, mem_addr: 7ba40000, mem_rdata: 00000000, mem_wdata: 00000000
